date,exercise,category,sets,reps,weight,notes
2026-03-30,Incline Bench Press,push,1,8,95,
2026-03-30,Incline Bench Press,push,3,8,115,
2026-03-30,Dips,push,3,5,0,Bodyweight
2026-03-30,Tricep Dips,push,2,10,0,Bodyweight
2026-03-31,Pull-ups,pull,3,5,0,Bodyweight
2026-03-31,Dumbbell Curls,pull,1,10,30,
2026-03-31,Dumbbell Curls,pull,1,10,30,
2026-03-31,Pull-ups,pull,1,5,0,Bodyweight
2026-03-31,Pull-ups,pull,2,5,0,Bodyweight
2026-03-31,Dumbbell Curls,pull,1,10,30,
2026-03-31,Barbell Rows,pull,1,12,105,
2026-03-31,Barbell Rows,pull,1,12,105,
2026-03-31,Barbell Rows,pull,1,12,105,
